Metric,SPY,Strategy
Risk-Free Rate,0.06%,0.06%
Time in Market,69.0%,64.0%
,,
Total Return,17%,73%
CAGR% (Annual Return),16.84%,73.26%
,,
Sharpe,0.63,1.6
RoMaD,0.5,2.75
Corr to Benchmark,1.0,0.37
Prob. Sharpe Ratio,72.92%,94.69%
Smart Sharpe,0.62,1.57
Sortino,0.86,2.51
Smart Sortino,0.84,2.45
Sortino/√2,0.61,1.77
Smart Sortino/√2,0.6,1.73
Omega,1.34,1.34
,,
Max Drawdown,-33.68%,-26.6%
Longest DD Days,171,118
Volatility (ann.),33.48%,38.78%
R^2,0.14,0.14
Information Ratio,0.05,0.05
Calmar,0.5,2.75
Skew,-0.67,0.47
Kurtosis,11.76,5.08
,,
Expected Daily%,0.04%,0.15%
Expected Monthly%,1.3%,4.66%
Expected Yearly%,16.74%,72.74%
Daily Value-at-Risk,-2.82%,-3.17%
Expected Shortfall (cVaR),-2.82%,-3.17%
,,
MTD,3.19%,14.13%
3M,12.4%,17.45%
6M,23.21%,45.69%
YTD,16.74%,72.74%
1Y,16.74%,72.74%
3Y (ann.),16.84%,73.26%
5Y (ann.),16.84%,73.26%
10Y (ann.),16.84%,73.26%
All-time (ann.),16.84%,73.26%
,,
Best Day,9.06%,10.9%
Worst Day,-10.94%,-7.31%
Best Month,12.7%,26.7%
Worst Month,-12.44%,-12.92%
Best Year,16.74%,72.74%
Worst Year,16.74%,72.74%
,,
Avg. Drawdown,-2.54%,-4.39%
Avg. Drawdown Days,14,16
Recovery Factor,0.63,2.34
Ulcer Index,0.1,0.11
Serenity Index,0.19,0.53
,,
Avg. Up Month,6.6%,14.2%
Avg. Down Month,-6.65%,-10.64%
Win Days,208.83,207.32
Loss Days,155.17,156.68
Win Days%,57.37%,56.96%
Win Month%,58.33%,66.67%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.43
Alpha,-,0.53
Correlation,-,37.01%
Treynor Ratio,-,169.49%
